date;total_doses;wc_doses
2021-09-02;-;-
2021-09-03;-;-
2021-09-04;-;-
2021-09-05;-;-
2021-09-06;-;-
2021-09-07;-;-
2021-09-08;-;-
2021-09-09;-;-
2021-09-10;-;-
2021-09-11;-;-
2021-09-12;-;-
2021-09-13;-;-
2021-09-14;-;-
2021-09-15;-;-
2021-09-16;-;-
2021-09-17;-;-
2021-09-18;-;-
2021-09-19;-;-
2021-09-20;-;-
2021-09-21;-;-
2021-09-22;-;-
2021-09-23;-;-
2021-09-24;-;-
2021-09-25;-;-
2021-09-26;-;-
2021-09-27;-;-
2021-09-28;-;-
2021-09-29;-;-
2021-09-30;-;-
2021-10-01;-;-
2021-10-02;-;-
2021-10-03;-;-
2021-10-04;-;-
2021-10-05;-;-
2021-10-06;-;-
2021-10-07;-;-
2021-10-08;-;-
2021-10-09;-;-
2021-10-10;-;-
2021-10-11;-;-
2021-10-12;-;-
2021-10-13;-;-
2021-10-14;-;-
